car,MPO,Cylinder,Displacement,Horsepower,weight,Accelarate,Model,origin
Ford,20.7,6.0,,,3374,15.5,76,
Jaguar,17.4,4.0,1793,186,,15.9,73,US
Audi,21.3,8.0,,265,,8.3,80,India
Hyundai,,,4498,,3317,,77,
Toyota,18.0,,,140,2706,7.2,74,US
Kia,15.7,,2659,155,3156,10.2,76,US
Toyota,16.9,8.0,3148,102,3974,15.5,79,
Ford,19.1,8.0,4693,150,1800,12.7,72,
BMW,17.5,6.0,3801,221,1818,10.8,76,South Korea
Tata,18.1,6.0,3268,130,2383,11.1,80,India
Audi,17.3,4.0,3801,130,2255,7.0,80,South Korea
Toyota,16.1,4.0,3644,167,3836,10.3,77,US
Audi,21.6,6.0,3872,97,2932,14.1,74,South Korea
Tata,10.2,4.0,1304,255,4292,17.7,73,Japan
Kia,19.0,6.0,3439,112,3752,16.3,77,South Korea
Toyota,18.5,4.0,1216,238,4449,7.3,77,India
Audi,20.7,4.0,4391,236,3950,16.9,72,Japan
BMW,19.0,6.0,1592,155,2787,15.6,75,US
Jaguar,22.4,8.0,1624,246,2319,15.6,74,US
Maruthi,24.4,4.0,3376,86,2658,12.0,71,Germany
Jaguar,15.1,6.0,4401,167,1973,11.4,77,Japan
Tata,13.4,8.0,1771,267,3166,10.3,75,Germany
Ford,16.4,4.0,4831,267,4278,7.7,71,Japan
Maruthi,14.3,8.0,3276,167,2526,9.5,74,Japan
Hyundai,19.2,4.0,2320,134,3510,9.7,70,India
BMW,23.7,4.0,4281,143,3675,12.3,79,Germany
Hyundai,12.1,8.0,1441,154,3481,15.2,75,India
Toyota,11.5,4.0,3479,74,3147,12.2,78,Japan
Maruthi,13.8,6.0,1988,71,2789,7.6,70,US
Hyundai,20.9,8.0,4555,91,4486,17.5,80,Japan
Hyundai,18.9,4.0,1914,181,2219,17.4,80,India
Audi,11.5,6.0,1958,126,2393,15.6,79,Germany
Jaguar,23.8,8.0,4049,135,4332,17.9,72,Germany
Audi,21.9,4.0,1975,143,3574,13.0,76,India
Maruthi,10.3,8.0,3973,167,4259,17.6,73,Germany
Maruthi,19.8,6.0,3447,213,2735,7.8,78,South Korea
Tata,21.6,6.0,4192,181,2907,11.0,72,US
Audi,15.6,6.0,1278,248,2936,9.5,74,US
Honda,11.0,4.0,4203,194,2131,9.2,72,US
Jaguar,11.2,8.0,2055,236,3888,8.5,76,Germany
Maruthi,11.6,8.0,4444,155,3593,13.8,74,Germany
Tata,22.6,6.0,3714,145,2758,15.6,78,Japan
Audi,23.7,6.0,3828,157,1904,13.4,76,Japan
Jaguar,11.8,6.0,2639,237,2001,8.6,71,US
Audi,13.5,6.0,4187,107,4297,15.9,73,South Korea
Hyundai,12.5,6.0,3696,257,3642,14.0,78,Japan
Tata,12.8,6.0,3334,128,3666,11.3,71,Japan
Jaguar,22.6,6.0,3348,207,3796,14.4,79,Germany
Kia,15.0,6.0,2231,168,3089,9.9,78,South Korea
Toyota,14.7,6.0,2044,261,2709,10.8,79,US
Toyota,13.4,4.0,4471,132,2009,17.1,74,Japan
Jaguar,19.1,4.0,4776,118,2362,10.2,71,South Korea
Audi,15.7,4.0,1286,261,3363,12.2,73,South Korea
Tata,21.2,6.0,3290,101,2570,16.8,76,US
Toyota,13.1,6.0,4656,204,4301,14.8,77,South Korea
Tata,21.8,6.0,4892,90,2428,7.7,72,South Korea
Toyota,19.1,6.0,4706,89,3428,8.6,70,South Korea
Hyundai,11.7,6.0,1607,223,3501,7.1,73,Japan
Audi,16.2,4.0,4754,196,2186,13.9,71,US
Hyundai,23.0,6.0,3911,137,3735,11.9,77,South Korea
Toyota,23.8,6.0,4288,179,4143,8.5,73,South Korea
Kia,17.0,8.0,2868,185,4105,17.5,71,Japan
Kia,17.2,4.0,1347,283,2904,12.8,75,US
Hyundai,23.8,4.0,3524,212,2067,9.7,75,Germany
Kia,18.8,4.0,1431,189,4266,12.5,79,Japan
Toyota,10.5,4.0,3150,282,4082,14.5,73,US
Jaguar,23.7,6.0,1565,148,3656,7.8,75,South Korea
Hyundai,13.7,4.0,4499,283,3798,10.0,71,US
Ford,18.7,6.0,2874,185,3180,15.9,79,US
Audi,12.5,6.0,1635,161,3036,12.1,71,US
Kia,10.5,4.0,1598,83,2373,13.0,79,Germany
